ds,yhat,yhat_lower,yhat_upper
2020-01-01,898.2794495667353,866.7286908511463,927.5969742097869
2020-02-01,913.8571457984089,885.6472141380588,942.6479938899987
2020-03-01,869.4942358906873,841.4544161377501,897.4328431234348
2020-04-01,904.9110359548152,875.5118864916872,934.4812700312532
2020-05-01,917.853949956902,888.1818526957627,946.0683597050203
2020-06-01,932.6457459730257,902.2014065173952,960.993260925636
2020-07-01,893.2205339613507,864.1269833894285,921.0063980611112
2020-08-01,895.1270451751004,866.1406098286441,925.3569521973698
2020-09-01,895.0255868717019,868.0367556566217,923.73920948799
2020-10-01,886.7357600438404,858.6285512374094,915.2137311775867
2020-11-01,924.343084486076,894.1695454560254,954.8655789571768
2020-12-01,929.7835006207611,900.7281243218813,959.190176732782
2021-01-01,901.1630597506081,870.4636588619782,928.9981484181226
2021-02-01,901.0527623014708,870.9380605838227,930.4959583352877
2021-03-01,884.5566213005031,854.952598504314,912.5985446483884
2021-04-01,906.0724095237302,876.5545373452478,933.6613627522798
2021-05-01,905.4696091324597,878.2032719904138,936.5552470343473
2021-06-01,921.8643011478979,892.4314005231528,952.6868100724637
2021-07-01,900.3641350744052,872.445568601116,927.8744396975128
2021-08-01,899.3880918644137,870.4290040559431,928.6331089163023
2021-09-01,898.2681955143236,869.1778100561394,927.2573846253524
2021-10-01,895.5804500302892,866.2864119284716,924.2400942335578
2021-11-01,922.9679567212104,894.6396288165424,951.7240200942746
2021-12-01,911.9032616589659,884.3974700582556,941.4899276055825
2022-01-01,900.1590786619565,872.4827971046878,927.9337332119447
2022-02-01,905.3891777129321,875.0452214619519,934.9675299666545
2022-03-01,899.563450446478,870.8072733835727,928.2142521654557
2022-04-01,906.8655329381846,879.2255989014143,937.5810949937662
2022-05-01,893.0164052970941,866.2087462936742,922.3210622763315
2022-06-01,911.4976109607537,883.1195159011903,940.687247901634
2022-07-01,907.9767850611121,879.1610471057983,936.215378530197
2022-08-01,903.8853508101505,876.3738880190078,932.2254596143744
2022-09-01,901.7108243629702,872.9638095979251,930.792789403891
2022-10-01,904.4037417921246,872.7701121432027,934.7955996957431
2022-11-01,921.35353331573,894.0259153446716,949.1984369797009
2022-12-01,894.2510125589039,866.3057216524301,927.0006798427172
2023-01-01,899.7660962812957,869.8450017184182,929.8452368457647
2023-02-01,910.2428900384834,880.556825562869,938.9981629413097
2023-03-01,914.5884437678754,884.1264473226327,941.6428084029368
2023-04-01,907.3526070705734,876.5943477155229,937.1574646756285
2023-05-01,880.5534462920049,852.268861839047,909.1507767708914
2023-06-01,901.5655333368067,872.2638293703701,930.5095074768601
2023-07-01,916.0355956058601,886.6726949418372,945.1358804837097
2023-08-01,908.5646054989209,878.8624142976396,936.2412381379364
2023-09-01,905.2774632528985,876.3297533440805,936.5512020997058
2023-10-01,913.1065001357802,885.7803006222167,942.6113179917181
2023-11-01,919.4036326804539,889.4421853599493,948.9851664310825
2023-12-01,876.7363826990498,847.4872644683428,907.2153772207356
2024-01-01,899.864537298871,871.4248173174676,928.886214441963
2024-02-01,915.4697928148823,886.3499082008288,943.3615161088712
2024-03-01,871.1326641729165,842.2642118485526,899.3750226449354
2024-04-01,906.5770235155295,875.3337083229558,934.8804350156095
2024-05-01,919.5466077870354,891.3514182165978,950.0255904185246
2024-06-01,934.3659630758483,906.3232995652058,962.3558895252331
2024-07-01,894.967421328029,866.5073618310306,922.820370576115
2024-08-01,896.9014918137066,868.4893455468876,925.0371033189359
2024-09-01,896.8275927820273,868.2504415793401,928.2346757919664
2024-10-01,888.5644362201909,860.0482273876785,917.0992215895635
2024-11-01,926.1993199317851,895.8374827781387,954.9628008829554
2024-12-01,931.6664063268657,902.400674094649,960.0791450393706
2025-01-01,903.0735247199291,876.1401560682799,932.7356636987647
2025-02-01,902.9907865339544,874.0254280648738,932.603055058304
2025-03-01,886.5195377630534,855.2932219815567,914.7414854600476
2025-04-01,908.0628852408905,880.0875036078801,938.083042640488
2025-05-01,907.4853288810284,878.4613164865671,938.0747525680553
2025-06-01,923.9061063958188,896.0956403389049,953.0653495779404
2025-07-01,902.4264236266908,874.1531185193855,932.5127602486043
2025-08-01,901.4715464977705,870.844960997695,933.9256418099826
2025-09-01,900.3702514420654,869.0021781726575,929.1061277700202
2025-10-01,897.7005072107457,869.3472981414671,925.6322412670332
2025-11-01,925.1034408108944,897.0514906802593,953.2650115249996
2025-12-01,914.0536750157413,884.0897255532467,941.210153761445
