date,fertilizer_price,forecast,volatility,pct_change,alert
2020-01-01,890.42,,,,
2020-01-01,,898.2794495667353,,,
2020-02-01,914.35,,,0.0,
2020-02-01,,913.8571457984089,,1.7341703897586713,
2020-03-01,906.93,,,0.0,
2020-03-01,,869.4942358906873,,-4.85446878778445,
2020-04-01,904.81,,,0.0,
2020-04-01,,904.9110359548152,,4.07326450276555,
2020-05-01,933.51,,,0.0,
2020-05-01,,917.853949956902,,1.430296845526935,
2020-06-01,,932.6457459730256,,1.6115631486706583,
2020-06-01,926.38,,,0.0,
2020-07-01,,893.2205339613507,,-4.227244072243385,
2020-07-01,880.43,,,0.0,
2020-08-01,,895.1270451751004,,0.21344238530820459,
2020-08-01,892.11,,,0.0,
2020-09-01,,895.0255868717019,,-0.01133451435139099,
2020-09-01,880.95,,,0.0,
2020-10-01,,886.7357600438404,,-0.9262111552403862,
2020-10-01,873.39,,,0.0,
2020-11-01,912.11,,,0.0,
2020-11-01,,924.343084486076,,4.241097081770584,
2020-12-01,952.97,,,0.0,
2020-12-01,,929.7835006207612,,0.5885710864283578,
2021-01-01,930.8,,,0.0,
2021-01-01,,901.163059750608,,-3.0781833460203356,
2021-02-01,,901.0527623014708,,-0.01223945521776626,
2021-02-01,960.48,,,0.0,
2021-03-01,863.81,,,0.0,
2021-03-01,,884.5566213005031,,-1.830763046420636,
2021-04-01,914.21,,,0.0,
2021-04-01,,906.0724095237302,,2.432381116721949,
2021-05-01,882.96,,,0.0,
2021-05-01,,905.4696091324596,,-0.06652894238193818,
2021-06-01,867.17,,,0.0,
2021-06-01,,921.864301147898,,1.8106286340351385,
2021-07-01,,900.3641350744052,,-2.332248471572329,
2021-07-01,878.64,,,0.0,
2021-08-01,,899.3880918644137,,-0.10840538532900235,
2021-08-01,851.07,,,0.0,
2021-09-01,,898.2681955143236,,-0.12451758703727611,
2021-09-01,905.34,,,0.0,
2021-10-01,933.28,,,0.0,
2021-10-01,,895.5804500302892,,-0.29921414310961625,
2021-11-01,,922.9679567212104,,3.0580733076514655,
2021-11-01,963.19,,,0.0,
2021-12-01,,911.903261658966,,-1.1988168150009249,
2021-12-01,918.96,,,0.0,
2022-01-01,,900.1590786619565,,-1.2878759722433797,
2022-01-01,898.82,,,0.0,
2022-02-01,,905.389177712932,,0.5810194192286344,
2022-02-01,886.31,,,0.0,
2022-03-01,,899.563450446478,,-0.6434500665415621,
2022-03-01,899.12,,,0.0,
2022-04-01,881.16,,,0.0,
2022-04-01,,906.8655329381846,,0.8117362358466718,
2022-05-01,869.6,,,0.0,
2022-05-01,,893.0164052970941,,-1.5271423533123163,
2022-06-01,905.76,,,0.0,
2022-06-01,,911.4976109607536,,2.0695258848588693,
2022-07-01,916.45,,,0.0,
2022-07-01,,907.976785061112,,-0.38626825318066604,
2022-08-01,,903.8853508101504,,-0.4506100065858165,
2022-08-01,949.18,,,0.0,
2022-09-01,,901.7108243629702,,-0.2405754717930919,
2022-09-01,921.37,,,0.0,
2022-10-01,,904.4037417921246,,0.2986453479758122,
2022-10-01,922.64,,,0.0,
2022-11-01,,921.35353331573,,1.874139915655193,
2022-11-01,905.81,,,0.0,
2022-12-01,865.74,,,0.0,
2022-12-01,,894.2510125589039,,-2.941598395926337,
2023-01-01,886.59,,,0.0,
2023-01-01,,899.7660962812957,,0.6167265840281821,
2023-02-01,881.59,,,0.0,
2023-02-01,,910.2428900384834,,1.1643908122886515,
2023-03-01,883.97,,,0.0,
2023-03-01,,914.5884437678754,,0.4774059514168094,
2023-04-01,895.58,,,0.0,
2023-04-01,,907.3526070705734,,-0.7911576782549501,
2023-05-01,890.87,,,0.0,
2023-05-01,,880.5534462920049,,-2.9535552738522153,
2023-06-01,924.78,,,0.0,
2023-06-01,,901.5655333368068,,2.3862364213419918,
2023-07-01,,916.03559560586,,1.6049928412300352,
2023-07-01,930.0,,,0.0,
2023-08-01,,908.5646054989209,,-0.8155785804369153,
2023-08-01,912.74,,,0.0,
2023-09-01,909.0,,,0.0,
2023-09-01,,905.2774632528984,,-0.36179510253069314,
2023-10-01,,913.1065001357802,,0.8648218033341815,
2023-10-01,901.88,,,0.0,
2023-11-01,918.54,,,0.0,
2023-11-01,,919.403632680454,,0.6896383438008025,
2023-12-01,881.98,,,0.0,
2023-12-01,,876.7363826990498,,-4.640752816802662,
2024-01-01,892.94,,,0.0,
2024-01-01,,899.864537298871,,2.6379827569857017,
2024-02-01,,915.4697928148825,,1.7341782978640197,
2024-02-01,903.63,,,0.0,
2024-03-01,,871.1326641729165,,-4.843101213163825,
2024-03-01,885.33,,,0.0,
2024-04-01,935.75,,,0.0,
2024-04-01,,906.5770235155296,,4.0687671120982705,
