ds,yhat,yhat_lower,yhat_upper
2020-01-01,510.00334008805993,487.35769726810713,531.7632645022869
2020-02-01,503.60818364156836,481.2685200686253,526.4309424402213
2020-03-01,498.5533225203425,474.3155828314776,522.4644040914388
2020-04-01,491.38776870245835,469.46879431525156,515.691644221953
2020-05-01,505.3303134067196,482.927915581796,528.6293240022515
2020-06-01,514.1086372634288,492.42889718755123,537.1615273635505
2020-07-01,494.16974346807183,472.6381364254164,518.0751217498056
2020-08-01,495.62506239520593,473.5511800667994,517.3766882711203
2020-09-01,498.0455628283118,474.37126586955065,519.8092894188812
2020-10-01,513.1263380177619,493.10981078561986,534.9326861794833
2020-11-01,488.51824068638274,467.00583793171626,511.7205928583439
2020-12-01,522.3001374604536,499.53041068105176,543.7935234739183
2021-01-01,494.79962154255577,471.8378195887264,517.3179227321531
2021-02-01,496.0348291634372,474.00757383048824,517.875385156133
2021-03-01,495.8845005829843,473.641561843491,516.8997798132119
2021-04-01,498.94119281070374,476.3610503465341,521.0324317490714
2021-05-01,502.6604755655596,481.5622836589059,524.5183923023167
2021-06-01,513.3548873729827,492.65227948602785,536.42084102542
2021-07-01,504.7287001038457,480.8994155842303,527.4196373497733
2021-08-01,496.9544033278267,474.9305584559905,518.8065119705493
2021-09-01,502.3525939311465,479.78731938490694,525.1896928146206
2021-10-01,510.9796922007294,489.5647487035641,532.8595074323476
2021-11-01,494.8195875009784,471.50972064150534,516.3049394039584
2021-12-01,517.7572586168133,495.0341601679866,539.738593618071
2022-01-01,503.25332339053074,480.6296017740322,526.4852520672457
2022-02-01,502.1777208325293,479.76733489563185,524.3792033212922
2022-03-01,493.2119573660399,470.1510285886998,515.3891590090365
2022-04-01,506.480655327642,482.3856602695693,529.9243934793881
2022-05-01,499.94554734736346,477.407103912161,521.8532266115853
2022-06-01,512.7744172455407,490.9814453655912,533.1711301044476
2022-07-01,515.3369253930698,493.31979482510735,538.0331796879598
2022-08-01,498.2015774283647,475.17299678602035,520.9192029924498
2022-09-01,506.58993680442495,484.56231969615055,530.1010597924814
2022-10-01,508.8362987241252,486.7912781054215,531.1820962350807
2022-11-01,501.12464343016063,480.0456314971568,524.9872206503179
2022-12-01,513.2840747395924,490.88246430459327,535.3392509564551
2023-01-01,511.84140064228575,489.8227871371389,533.697196463522
2023-02-01,508.2219120750111,486.51595579448514,530.7651969353955
2023-03-01,490.53596188025136,468.45796954170214,514.0267366240989
2023-04-01,513.9979720109017,491.8920193016479,537.3953874945086
2023-05-01,497.1846500588914,474.36496331001666,517.8977348019578
2023-06-01,512.3621104373934,490.90985740737705,535.1670959431888
2023-07-01,525.978577774297,503.8647869287501,547.6422602199552
2023-08-01,499.35858777900825,475.9111227855382,520.2835602346331
2023-09-01,510.75081752805573,489.13837787231773,534.2606840306347
2023-10-01,506.69528544657175,483.1006083944722,528.9561316604812
2023-11-01,507.42765944634976,485.86638269271145,530.3940631660644
2023-12-01,508.8820938062371,486.99488531485827,531.8600611043464
2024-01-01,520.5544752982776,499.27911799235324,542.7723379612816
2024-02-01,514.1600237857429,492.58613248234013,536.2239026984632
2024-03-01,509.1058221188104,487.32898611154684,530.9721279795411
2024-04-01,501.94097322427064,480.1823520301015,523.3601045457082
2024-05-01,515.88420011247,494.0438658921536,538.3208052855506
2024-06-01,524.6632288934687,503.95065376517323,546.8070025819345
2024-07-01,504.7250172828126,482.9494326742429,526.5212293620577
2024-08-01,506.1810384792242,483.2287275010215,529.069490833199
2024-09-01,508.60224118147295,485.9332873469292,530.1500246053913
2024-10-01,523.6836959753596,500.94929947543756,546.2628774890742
2024-11-01,499.07630087295433,476.84385249308104,522.0130211241337
2024-12-01,532.8588772234943,510.6998901412081,556.7273152368913
2025-01-01,505.35906309038313,483.24683386094887,527.7301955230852
2025-02-01,506.5949724960691,484.39315304614473,529.8651170366948
2025-03-01,506.44527778179196,485.43012026026213,529.3436214669325
2025-04-01,509.50267179004004,486.1184481422181,530.2488274707567
2025-05-01,513.2226294979168,491.8196523491849,534.172370328904
2025-06-01,523.9177387568136,501.45244417722404,544.9550843009968
2025-07-01,515.2915521621765,492.71025113822657,536.3757618509773
2025-08-01,507.51725608304474,485.19393844034187,531.401007355083
2025-09-01,512.9154473471689,491.515890007042,534.4574915663688
2025-10-01,521.5425462562682,500.28152748274164,544.730964318796
2025-11-01,505.3824415306415,482.81629072582354,529.2422625529518
2025-12-01,528.3201126215142,504.557235839228,550.407642321574
